timestamp, frame, x, y, z, qx, qy, qz, qw
19735.077985208, 001457, 13.605842, 0.08917581, -13.206417, 0.75732636, -0.08754389, 0.63818973, 0.10726872
19735.094653041, 001458, 13.626999, 0.08478673, -13.209506, 0.75792456, -0.08709557, 0.6375766, 0.10705416
19735.111320833, 001459, 13.645507, 0.08216845, -13.213633, 0.7582985, -0.08643084, 0.6372974, 0.10660662
19735.127988666, 001460, 13.663306, 0.08022771, -13.218176, 0.75855124, -0.08579989, 0.63718605, 0.10598245
19735.144656416, 001461, 13.680982, 0.07868036, -13.222954, 0.7589042, -0.08533971, 0.63700503, 0.10491007
19735.161324333, 001462, 13.698712, 0.077416025, -13.227899, 0.7593453, -0.08512185, 0.6367375, 0.10350958
19735.177992041, 001463, 13.719371, 0.07407037, -13.23239, 0.7598046, -0.084981665, 0.6364283, 0.102147415
19735.194659833, 001464, 13.738248, 0.07233188, -13.237471, 0.7601631, -0.084816776, 0.63616586, 0.101247385
19735.211327708, 001465, 13.756674, 0.071166545, -13.242855, 0.7602551, -0.084288165, 0.63619184, 0.100834236
19735.227995458, 001466, 13.775063, 0.07032259, -13.248432, 0.7600327, -0.08343596, 0.63656026, 0.10089462
19735.244663333, 001467, 13.793501, 0.06981382, -13.254104, 0.7595423, -0.08247646, 0.6372388, 0.10109222
19735.261331125, 001468, 13.811959, 0.06968433, -13.259766, 0.7591781, -0.08142535, 0.6377824, 0.10125255
19735.277998833, 001469, 13.830744, 0.06991159, -13.2654, 0.7591961, -0.08101843, 0.6376516, 0.102262326
19735.294666791, 001470, 13.851688, 0.07001111, -13.270717, 0.75904405, -0.08150338, 0.6374549, 0.104213476
19735.311334625, 001471, 13.871251, 0.070988, -13.276271, 0.75815403, -0.08250799, 0.6380968, 0.10595885
19735.328002333, 001472, 13.89027, 0.07254197, -13.281697, 0.75677556, -0.08345098, 0.63955224, 0.106299266
19735.344670125, 001473, 13.908859, 0.07449291, -13.286928, 0.7557171, -0.08439056, 0.64079547, 0.10559851
19735.361338041, 001474, 13.927048, 0.076628305, -13.292009, 0.7554003, -0.08533601, 0.6411612, 0.104882605
19735.378005791, 001475, 13.945004, 0.07883978, -13.296964, 0.75543624, -0.08655042, 0.6410113, 0.104544595
19735.394673583, 001476, 13.968655, 0.08165058, -13.302151, 0.75523144, -0.088394195, 0.64103496, 0.104336254
19735.411341416, 001477, 13.988408, 0.084116854, -13.306992, 0.7547537, -0.09078812, 0.6413047, 0.104080185
19735.428009166, 001478, 14.0069, 0.08626092, -13.311626, 0.7542973, -0.09334699, 0.6414166, 0.10443467
19735.444677083, 001479, 14.0250225, 0.08803011, -13.31612, 0.7538199, -0.095800444, 0.64138323, 0.10585497
19735.461344875, 001480, 14.043091, 0.08951692, -13.320504, 0.7531215, -0.098069966, 0.6415832, 0.107522614
19735.478012583, 001481, 14.066374, 0.09133037, -13.32448, 0.75222576, -0.10002636, 0.6421703, 0.10848228
19735.494680541, 001482, 14.086165, 0.09255398, -13.328484, 0.75135666, -0.10149089, 0.6428866, 0.10890105
19735.511348291, 001483, 14.104918, 0.093339555, -13.332447, 0.7505301, -0.10250114, 0.64364904, 0.10915082
19735.528015958, 001484, 14.123426, 0.09372418, -13.336341, 0.7496153, -0.10311307, 0.6445755, 0.10939361
19735.544683833, 001485, 14.141924, 0.09379135, -13.340137, 0.7486326, -0.103272654, 0.64570844, 0.10929113
19735.561351708, 001486, 14.16048, 0.09365268, -13.343823, 0.74759054, -0.1033807, 0.64699876, 0.108688705
19735.578019541, 001487, 14.183278, 0.09378678, -13.346702, 0.7467948, -0.10342745, 0.6481209, 0.1074221
19735.59468725, 001488, 14.2032585, 0.09340504, -13.349876, 0.7464253, -0.103643775, 0.6487596, 0.10591543
19735.611355125, 001489, 14.2224865, 0.09268775, -13.353107, 0.74650824, -0.104163535, 0.64881516, 0.10447126
19735.628022875, 001490, 14.241707, 0.091697626, -13.356371, 0.74670905, -0.104954235, 0.6486597, 0.10320247
19735.644690708, 001491, 14.261202, 0.090473495, -13.359692, 0.7466016, -0.10566601, 0.64886916, 0.10192864
19735.6613585, 001492, 14.280994, 0.08900986, -13.363058, 0.7460539, -0.10579482, 0.64969987, 0.100504264
19735.678026375, 001493, 14.303965, 0.08766359, -13.365093, 0.74540585, -0.105284184, 0.6507593, 0.09898352
19735.694694166, 001494, 14.325002, 0.085898355, -13.367932, 0.7450496, -0.10425156, 0.65156275, 0.097460814
19735.711361916, 001495, 14.3454485, 0.08401504, -13.370994, 0.7452375, -0.10276091, 0.65185803, 0.095615104
19735.728029666, 001496, 14.365786, 0.08213568, -13.3741045, 0.74585915, -0.1010505, 0.65167874, 0.09379556
19735.744697541, 001497, 14.386224, 0.080320194, -13.377187, 0.7465936, -0.09915298, 0.65137035, 0.09210471
19735.761365375, 001498, 14.406877, 0.07865971, -13.380213, 0.7471135, -0.0974242, 0.6512481, 0.09058552
19735.77803325, 001499, 14.426582, 0.07448493, -13.381005, 0.74740624, -0.09633353, 0.6512717, 0.08915609
19735.794701, 001500, 14.44715, 0.07250908, -13.383144, 0.74759096, -0.09587721, 0.6513233, 0.08771156
19735.811368833, 001501, 14.467882, 0.071503066, -13.385683, 0.7480681, -0.09568896, 0.6510318, 0.085996695
19735.828036541, 001502, 14.4885235, 0.07104426, -13.388374, 0.7492565, -0.09563618, 0.64987147, 0.08447138
19735.844704375, 001503, 14.509089, 0.07096992, -13.391218, 0.7510269, -0.09559219, 0.64793444, 0.083675414
19735.861372208, 001504, 14.529659, 0.07124051, -13.394261, 0.75294054, -0.09507989, 0.6458069, 0.08350843
19735.878039958, 001505, 14.547764, 0.07123092, -13.3978815, 0.7546749, -0.09426099, 0.6438408, 0.08396207
19735.894707875, 001506, 14.567836, 0.072009936, -13.401433, 0.75578904, -0.09359527, 0.6424748, 0.085141264
19735.91137575, 001507, 14.588588, 0.07320004, -13.404983, 0.75600857, -0.092660226, 0.6421939, 0.08632535
19735.9280435, 001508, 14.609416, 0.07466394, -13.408487, 0.7558811, -0.0915188, 0.64237636, 0.08729688
19735.944711166, 001509, 14.629987, 0.076310515, -13.411936, 0.7561081, -0.08988387, 0.642268, 0.08782471
19735.961379, 001510, 14.650273, 0.07805718, -13.415383, 0.75689894, -0.08842167, 0.64142, 0.08868937
19735.978046958, 001511, 14.6665125, 0.079425074, -13.4181, 0.7577432, -0.087745436, 0.64037514, 0.0896973
19735.994714541, 001512, 14.685465, 0.08129009, -13.421498, 0.75793827, -0.088048376, 0.6399734, 0.09061426
19736.011382416, 001513, 14.705319, 0.08334654, -13.425236, 0.7572989, -0.0896599, 0.6403073, 0.09201039
19736.02805025, 001514, 14.725302, 0.085389845, -13.429147, 0.7562048, -0.091712385, 0.64109844, 0.09346603
19736.044718125, 001515, 14.745016, 0.08733282, -13.433112, 0.7553522, -0.093677476, 0.64166343, 0.09452827
19736.061385916, 001516, 14.7642765, 0.089156516, -13.4371, 0.7552929, -0.09565161, 0.6413582, 0.09509445
19736.078053708, 001517, 14.78187, 0.09014951, -13.441495, 0.7562053, -0.097623974, 0.6399832, 0.09510335
19736.0947215, 001518, 14.800029, 0.091234684, -13.445835, 0.7577561, -0.09924371, 0.63789076, 0.09514053
19736.111389416, 001519, 14.818395, 0.09196356, -13.45035, 0.759402, -0.10013559, 0.6357581, 0.09535732
19736.128057083, 001520, 14.83697, 0.09215485, -13.4551325, 0.7606107, -0.10029533, 0.63417387, 0.09610284
19736.144724958, 001521, 14.855779, 0.091793105, -13.460151, 0.76104033, -0.09989592, 0.6335376, 0.09730578
19736.161392708, 001522, 14.874735, 0.09093386, -13.465314, 0.76087135, -0.09866213, 0.6338002, 0.09817254
19736.178060666, 001523, 14.895351, 0.08945433, -13.471017, 0.76061225, -0.09709624, 0.63428605, 0.09860182
